日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量,成交金额,换手率
2024/10/29,3328.09,3286.41,-35.79,-1.08%,3284.21,3340.46,725326144,80657384,-
2024/10/28,3300.46,3322.2,22.5,0.68%,3279.72,3322.2,672373120,71751024,-
2024/10/25,3280.76,3299.7,19.44,0.59%,3276.13,3319.36,595651712,67725528,-
2024/10/24,3287.82,3280.26,-22.54,-0.68%,3266.88,3292.94,519827072,58524892,-
2024/10/23,3285.25,3302.8,16.94,0.52%,3277.07,3331.08,650444160,76006640,-
2024/10/22,3263.82,3285.87,17.76,0.54%,3255.14,3294.96,574913792,69886152,-
2024/10/21,3276.06,3268.11,6.55,0.20%,3239.1,3300.66,668150272,85578144,-
2024/10/18,3165.97,3261.56,92.18,2.91%,3152.82,3313.98,693014592,82794896,-
2024/10/17,3220.73,3169.38,-33.56,-1.05%,3169.38,3241.57,528611776,55734736,-
2024/10/16,3169.17,3202.95,1.66,0.05%,3167.74,3236.85,515813984,53306240,-
2024/10/15,3265.75,3201.29,-83.03,-2.53%,3201.29,3285.21,566054528,61909148,-
2024/10/14,3241.43,3284.32,66.58,2.07%,3203.9,3294.62,631466816,70149928,-
2024/10/11,3287.87,3217.74,-84.19,-2.55%,3187.99,3297.75,606027456,66433280,-
2024/10/10,3277.69,3301.93,43.07,1.32%,3228.12,3379.81,834500288,94778848,-
2024/10/9,3427.22,3258.86,-230.92,-6.62%,3249.16,3437.16,992757248,126431144,-
2024/10/8,3674.4,3489.78,153.28,4.59%,3372.19,3674.4,1313460224,151051328,-
2024/9/30,3194.72,3336.5,248.97,8.06%,3153.7,3358.59,1102337920,116777264,-
2024/9/27,3049.1,3087.53,86.58,2.88%,3017.45,3087.53,492287168,48061256,-
2024/9/26,2893.75,3000.95,104.65,3.61%,2889.01,3000.95,576319232,52466904,-
2024/9/25,2901.42,2896.31,33.18,1.16%,2889.05,2952.45,568259840,51669808,-
2024/9/24,2770.75,2863.13,114.21,4.15%,2761.37,2863.15,477619520,44279528,-
2024/9/23,2735.39,2748.92,12.1,0.44%,2731.36,2760.48,257642144,23521450,-
2024/9/20,2734.23,2736.81,0.79,0.03%,2717.95,2741.16,285644640,25543332,-
2024/9/19,2723.21,2736.02,18.74,0.69%,2697.78,2747.74,315208384,28053606,-
2024/9/18,2705.35,2717.28,13.19,0.49%,2689.7,2724.11,247817136,21309058,-
2024/9/13,2718.99,2704.09,-13.03,-0.48%,2703.37,2728.78,251270048,22781880,-
2024/9/12,2722.14,2717.12,-4.67,-0.17%,2716.56,2734.68,240084320,21857110,-
2024/9/11,2732.73,2721.8,-22.4,-0.82%,2710.62,2732.73,242264896,21975596,-
2024/9/10,2737.88,2744.19,7.7,0.28%,2718.63,2750.12,262159008,22640850,-
2024/9/9,2754.72,2736.49,-29.32,-1.06%,2726.97,2756.56,261468864,23660584,-
2024/9/6,2791.76,2765.81,-22.51,-0.81%,2765.64,2804.09,253645376,22857014,-
2024/9/5,2785.26,2788.31,4.04,0.14%,2777.47,2796.02,242040960,22751450,-
2024/9/4,2786.5,2784.28,-18.7,-0.67%,2781.94,2800.61,257453504,23471170,-
2024/9/3,2809.17,2802.98,-8.06,-0.29%,2794.91,2814.9,275736160,25278248,-
2024/9/2,2832.35,2811.03,-31.18,-1.10%,2810.37,2839.28,340714176,31481302,-
2024/8/30,2819.65,2842.21,19.11,0.68%,2817.01,2867.96,397516960,38409288,-
2024/8/29,2829.45,2823.11,-14.32,-0.50%,2815.38,2831.43,277510528,25764424,-
2024/8/28,2844.33,2837.43,-11.3,-0.40%,2830.96,2852.56,228730608,21386236,-
